133	Barksdale AFB	32.501365	-93.662567
134	Fort Polk	31.046812	-93.205394
135	JRB New Orleans	29.827689	-90.021286
136	NSA New Orleans	29.944853	-90.033682
137	Fort Buchanan	18.412973	-66.119833
138	Aberdeen Proving Ground	39.467342	-76.15654
139	Andrews AFB	38.812961	-76.870651
140	Coast Guard Yard	39.20697	-76.561976
141	Fort Detrick	39.448296	-77.427881
142	Fort Meade	39.090394	-76.719404
143	NAS Patuxent River	38.285939	-76.418628
144	Naval Academy	38.986269	-76.474805
145	Naval Medical Center	39.001126	-77.096998
146	NSA Annapolis	38.986269	-76.474805
147	NSF Indian Head	38.561143	-77.169683
148	Surface Forces Logistics	39.20697	-76.561976
149	USAG Benelux	50.575833	3.831
150	USAG Brussels	50.864248	4.434571
151	Joint Force Command Brunssum	50.9382499	5.9808809
152	USAG Schinnen	50.95	5.883333
153	Air Station Cape Cod	41.658293	-70.521927
154	Fort Devens	42.53644	-71.618592
155	Hanscom AFB	42.468868	-71.2909
156	Soldier Systems Center	42.283783	-71.347275
157	Southeastern New England	41.522886	-70.667847
158	Westover Air Reserve Base	42.193889	-72.534722
159	Fort Leonard Wood	37.731082	-92.15229
160	MC Mobilization Command	38.950865	-94.54834
161	Whiteman AFB	38.728911	-93.560535
162	Fort Dix	40.010398	-74.614838
163	Fort Monmouth	40.318266	-74.034098
164	Lakehurst	40.026563	-74.398384
165	Loran Support Unit	38.985715	-74.829413
166	McGuire AFB	40.029421	-74.589072
167	NWS Earle	40.279967	-74.171588
168	Picatinny Arsenal	40.965505	-74.522703
169	Training Center Cape May	38.985802	-74.906163
170	Logistics Group Western Pacific	1.366667	103.8
171	Guantanamo Bay	19.902222	-75.098889
172	Cannon AFB	34.384543	-103.316387
173	Holloman AFB	32.837294	-106.096872
174	Kirtland AFB	34.986121	-106.51379
175	White Sands Missile Range	32.942996	-106.418982
176	Cannon AFB	34.384543	-103.316387
177	Holloman AFB	32.837294	-106.096872
178	Kirtland AFB	34.986121	-106.51379
179	White Sands Missile Range	32.942996	-106.418982
180	NRCC Bahrain	26.051907	50.541057
181	NSA Bahrain	26.209722	50.609722
182	NSA Souda Bay	35.483333	24.138056
183	Fort Drum	44.059466	-75.716057
184	Fort Hamilton	40.70625	-73.997177
185	Saratoga Springs NSU	43.079913	-73.820345
186	US Military Academy	41.386524	-73.965845
187	Watervliet Arsenal	42.720249	-73.706855
188	Operations Systems Center	39.388	-77.886
189	Vessel Document Center	39.559	-77.891
190	Air Station Elizabeth City	36.317064	-76.27538
191	Camp Lejeune	34.644914	-77.321171
192	Fort Bragg	35.146582	-79.001312
193	MCAS Cherry Point	34.902545	-76.887646
194	MCAS New River	34.711844	-77.443829
195	National Strike Force	36.317064	-76.27538
196	Pope AFB	35.173055	-79.008376
197	Seymour Johnson AFB	35.350359	-77.960468
198	Altus AFB	34.663887	-99.273888
199	Coast Guard Institute	35.38449	-97.64294
200	Container Inspection Training	35.398655	-97.618605
201	Fort Sill	34.650438	-98.403683
202	Tinker Air Force Base	35.414724	-97.391675
203	Vance AFB	36.342196	-97.903367
204	Carlisle Barracks	40.209873	-77.172734
205	JRB Willow Grove	40.199971	-75.148861
206	NSA Mechanicsburg	40.240084	-76.98345
207	Tobyhanna Army Depot	41.185306	-75.452973
208	Fort Jackson	34.045263	-80.833969
209	Joint Base Charleston	32.902074	-80.051537
210	MCAS Beaufort	32.458457	-80.70966
211	MCRD Parris Island	32.409729	-80.733009
212	Naval Hospital Beaufort	32.391934	-80.685158
213	Naval Hospital Charleston	32.858283	-79.981968
214	NWS Charleston	32.927975	-79.939987
215	Shaw AFB	33.973057	-80.472778
216	Brooks City-Base	29.342399	-98.440107
217	Dyess AFB	32.419998	-99.856941
218	Fort Bliss	32.119801	-106.064072
219	Fort Hood	31.24	-97.74
220	Fort Sam Houston	29.475679	-98.430024
221	Goodfellow AFB	31.432869	-100.406471
222	JRB Fort Worth	32.76629	-97.436068
223	Lackland AFB	29.376275	-98.626265
224	Laughlin AFB	29.35755	-100.785503
225	NAS Corpus Christi	27.694385	-97.270045
226	NAS Kingsville	27.455103	-97.69229
227	NS Ingleside	27.859534	-97.209474
228	Randolph AFB	29.529673	-98.2789
229	Red River Army Depot	33.425	-94.0478
230	Sheppard AFB	33.986304	-98.494607
231	Finance Center	36.8187	-76.2753
232	Fort A.P. Hill	37.413326	-79.155975
233	Fort Belvoir	38.710647	-77.158487
234	Fort Eustis	37.16049	-76.58025
235	Fort Lee	37.255894	-77.333573
236	Fort Monroe	37.005051	-76.309991
237	Fort Myer	38.883087	-77.080606
238	Henderson Hall	38.880344	-77.10826
239	Joint Expeditionary Base	36.918057	-76.009556
240	Langley AFB	37.084616	-76.360552
241	MCB Quantico	38.529933	-77.445404
242	Medical Center Portsmouth	36.848233	-76.306209
243	NAB Little Creek	36.916897	-76.190078
244	NAS Oceana	36.825638	-76.033459
245	National Maritime Center	38.874992	-77.122609
246	National Pollution Funds Center	38.8955	-77.1445
247	Navigation Center	38.7955	-77.13485
